Names	total	elements
		PHD finger protein 12
		zinc finger protein 324
		zinc finger and BTB domain containing 46
		transmembrane protein 260
		3-phosphoinositide dependent protein kinase-1
		ectodermal-neural cortex 1 (with BTB domain)
		vinculin
		SATB homeobox 2
		chromosome 18 open reading frame 25
		phosphodiesterase 8A
		KIAA2026
		prickle homolog 2 (Drosophila)
		cerebellar degeneration-related protein 2-like
		N(alpha)-acetyltransferase 15, NatA auxiliary subunit
		cancer susceptibility candidate 3
		calmegin
		tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide
		NIPA-like domain containing 4
		sel-1 suppressor of lin-12-like 3 (C. elegans)
		tubulin tyrosine ligase-like family, member 7
		cytotoxic and regulatory T cell molecule
		zinc finger protein 385B
		family with sequence similarity 160, member A1
		solute carrier family 30 (zinc transporter), member 4
		cyclin-dependent kinase 16
		TNF receptor-associated factor 3
		hormonally up-regulated Neu-associated kinase
		high mobility group nucleosome binding domain 1
		neuroligin 1
		androglobin
		receptor accessory protein 1
		DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked
		glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
		fat mass and obesity associated
		sterile alpha motif domain containing 4A
		LY75-CD302 readthrough
		gastrulation brain homeobox 2
		Rho family GTPase 2
		zinc finger, DHHC-type containing 3
		anoctamin 4
		Lipid phosphate phosphatase-related protein type 4
		growth hormone receptor
		methyltransferase like 9
		SMG1 phosphatidylinositol 3-kinase-related kinase
		caseinolytic mitochondrial matrix peptidase chaperone subunit
		fibroblast growth factor 14
		glial cell derived neurotrophic factor
		suppressor of variegation 3-9 homolog 1 (Drosophila)
		bone morphogenetic protein 3
		KIAA0907
		ATP-binding cassette, sub-family B (MDR/TAP), member 11
		integrin, beta-like 1 (with EGF-like repeat domains)
		heterogeneous nuclear ribonucleoprotein A3
		MLX interacting protein
		chromosome 8 open reading frame 86
		cortactin binding protein 2
		cytochrome b5 reductase 4
		PDLIM1 interacting kinase 1 like
		teashirt zinc finger homeobox 1
		F-box protein 34
		EGF-like, fibronectin type III and laminin G domains
		Cell growth-inhibiting protein 7; HCG1784586; Uncharacterized protein
		NODAL modulator 1
		active BCR-related
		calcium/calmodulin-dependent protein kinase II gamma
		chromodomain protein, Y-like 2
		STT3B, subunit of the oligosaccharyltransferase complex (catalytic)
		contactin 4
		ring finger protein 180
		DEP domain containing MTOR-interacting protein
		CREB binding protein
		ubiquitin-like modifier activating enzyme 2
		scinderin
		AXL receptor tyrosine kinase
		homeobox D10
		calcium channel, voltage-dependent, R type, alpha 1E subunit
		calcium channel, voltage-dependent, L type, alpha 1C subunit
		solute carrier family 16 (monocarboxylate transporter), member 7
		phosphoinositide-3-kinase, regulatory subunit 3 (gamma)
		methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
		G protein-coupled receptor 135
		laminin, gamma 1 (formerly LAMB2)
		steroid sulfatase (microsomal), isozyme S
		family with sequence similarity 120A
		lysine (K)-specific methyltransferase 2D
		nescient helix loop helix 2
		protein phosphatase 1, regulatory subunit 9A
		KIAA1211-like
		adducin 3 (gamma)
		pecanex homolog (Drosophila)
		sirtuin 6
		Kruppel-like factor 7 (ubiquitous)
		tau tubulin kinase 2
		SEC24 family, member C (S. cerevisiae)
		anoctamin 8
		strawberry notch homolog 1 (Drosophila)
		brain-specific angiogenesis inhibitor 3
		dual specificity phosphatase 6
		H6 family homeobox 3
		membrane bound O-acyltransferase domain containing 2
		CCR4-NOT transcription complex, subunit 2
		leucine rich repeat and Ig domain containing 1
		calmodulin-like 4
		SNF related kinase
		myopalladin
		sterol regulatory element binding transcription factor 1
		alpha-kinase 3
		ATPase, aminophospholipid transporter, class I, type 8B, member 1
		CUB and Sushi multiple domains 1
		metallothionein 1A
		eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa
		nuclear receptor interacting protein 1
		family with sequence similarity 81, member A
		oxidative stress responsive 1
hsa-miR-106b-5p hsa-miR-144-3p	187	F-box and leucine-rich repeat protein 3
		Rho-associated, coiled-coil containing protein kinase 2
		WEE1 homolog (S. pombe)
