Names	total	elements
		centrosomal protein 97kDa
		family with sequence similarity 134, member A
		autophagy related 2A
		atonal homolog 8 (Drosophila)
		polymerase (RNA) III (DNA directed) polypeptide G (32kD)
		protein tyrosine phosphatase domain containing 1
		protein tyrosine phosphatase, receptor type, D
		hook microtubule-tethering protein 3
		family with sequence similarity 160, member B2
		ribosomal modification protein rimK-like family member A
		protein kinase, cAMP-dependent, catalytic, beta
		vacuolar protein sorting 26 homolog A (S. pombe)
		family with sequence similarity 189, member A1
		Rap guanine nucleotide exchange factor (GEF) 5
		neurensin 1
		ATPase, class VI, type 11A
		phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1
		family with sequence similarity 129, member A
		platelet-activating factor acetylhydrolase 2, 40kDa
		Rho guanine nucleotide exchange factor (GEF) 28
		motile sperm domain containing 2
		ubiquitin associated and SH3 domain containing B
		chromosome 10 open reading frame 107
		T-box 3
		atonal homolog 1 (Drosophila)
		cadherin, EGF LAG seven-pass G-type receptor 2
		RNA binding motif protein 20
		microtubule associated monooxygenase, calponin and LIM domain containing 3
		cysteine rich transmembrane BMP regulator 1 (chordin-like)
		regulator of G protein signaling 9 binding protein
		growth differentiation factor 11
		piggyBac transposable element derived 5
		FIC domain containing
		PR domain containing 12
		translocase of inner mitochondrial membrane 8 homolog B (yeast)
		armadillo repeat containing 8
		eukaryotic translation initiation factor 4H
		ATPase family, AAA domain containing 2
		tripartite motif containing 8
		TBC1 domain family, member 9 (with GRAM domain)
		toll interacting protein
		v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog
		calcium/calmodulin-dependent protein kinase II inhibitor 2
		hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)
		glucosaminyl (N-acetyl) transferase 4, core 2
		midnolin
		leucine rich repeat containing 40
		interleukin 25
		cell division cycle 37-like 1
		abhydrolase domain containing 5
		coiled-coil and C2 domain containing 1A
		ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)
		ribosomal protein S6 kinase, 90kDa, polypeptide 6
		sorcin
		solute carrier family 46, member 3
		solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1
		PEST proteolytic signal containing nuclear protein
		zinc finger and BTB domain containing 14
		estrogen receptor 1
		KIAA0247
		AHNAK nucleoprotein
		kelch-like family member 8
		HMG-box transcription factor 1
		centromere protein Q
		SLAIN motif family, member 2
		syndecan 2
		family with sequence similarity 102, member A
		spastic ataxia of Charlevoix-Saguenay (sacsin)
		autophagy related 14
		HECT domain containing E3 ubiquitin protein ligase 2
		chromosome 3 open reading frame 38
		low density lipoprotein receptor
		myosin VB
		alkaline ceramidase 2
		acid phosphatase-like 2
		coiled-coil domain containing 71-like
		DMRT-like family A2
		zinc finger and BTB domain containing 4
		autophagy related 7
		glycosylphosphatidylinositol specific phospholipase D1
		runt-related transcription factor 3
		signal-regulatory protein alpha
		protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
		zinc finger, DHHC-type containing 9
		synovial sarcoma translocation gene on chromosome 18-like 1
		G protein-coupled receptor 137B
		upregulator of cell proliferation
		lactation elevated 1
		forkhead box B1
		F-box protein 41
		zinc finger and BTB domain containing 8A
		tumor necrosis factor, alpha-induced protein 1 (endothelial)
		GTPase activating protein (SH3 domain) binding protein 1
		retinoblastoma binding protein 7
		STE20-like kinase
		collagen, type XIX, alpha 1
		adaptor-related protein complex 2, beta 1 subunit
		acyl-CoA synthetase family member 2
		zinc finger protein 697
		vacuolar protein sorting 13 homolog A (S. cerevisiae)
		phosphatidylinositol glycan anchor biosynthesis, class H
		KIAA1671
		Wolf-Hirschhorn syndrome candidate 1
		fibronectin type III domain containing 3B
		zinc finger protein 25
		egl-9 family hypoxia-inducible factor 1
		vav 2 guanine nucleotide exchange factor
		phosphatidylinositol transfer protein, alpha
		vascular endothelial growth factor A
		potassium voltage-gated channel, Shab-related subfamily, member 1
		chromosome 7 open reading frame 41
		tripartite motif containing 32
		ubiquitin-conjugating enzyme E2B
		vacuolar protein sorting 13 homolog C (S. cerevisiae)
		NCK-associated protein 5
		methylsterol monooxygenase 1
		solute carrier family 6 (neurotransmitter transporter, glycine), member 9
		potassium large conductance calcium-activated channel, subfamily M beta member 3
		6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
		epiregulin
		peroxisome proliferator-activated receptor delta
		ZFP3 zinc finger protein
		neurogenin 1
		tocopherol (alpha) transfer protein-like
		RE1-silencing transcription factor
		thyroid hormone receptor, beta
		amyloid beta (A4) precursor protein-binding, family B, member 2
		peroxisomal biogenesis factor 5-like
		INO80 complex subunit
		von Willebrand factor A domain containing 7
		centrosomal protein 120kDa
		low density lipoprotein receptor adaptor protein 1
		colony stimulating factor 1 (macrophage)
		serine/arginine-rich splicing factor 12
		yippee-like 1 (Drosophila)
		nuclear receptor corepressor 1
		ELOVL fatty acid elongase 6
		oncostatin M
		neurobeachin-like 2
		solute carrier family 29 (equilibrative nucleoside transporter), member 2
		low density lipoprotein receptor-related protein 12
		ELK4, ETS-domain protein (SRF accessory protein 1)
		kelch-like family member 2
		NHL repeat containing 3
		Rap guanine nucleotide exchange factor (GEF) 1
		solute carrier family 25, member 51
		collagen, type IV, alpha 3 (Goodpasture antigen)
		solute carrier family 4, sodium bicarbonate cotransporter, member 7
		phosphodiesterase 1B, calmodulin-dependent
		ring finger protein 13
		lysosomal protein transmembrane 4 alpha
		dual specificity phosphatase 2
		derlin 2
		GRIK1 antisense RNA 2
		pleckstrin homology domain interacting protein
		exostosin glycosyltransferase 1
		sorting nexin 12
		Ras association (RalGDS/AF-6) domain family member 3
		solute carrier family 35, member F3
		cysteine-rich PDZ-binding protein
		transmembrane protein 200C
		Homo sapiens ribonuclease, RNase A family, 4 (RNASE4), transcript variant 4, mRNA.
		tetratricopeptide repeat domain 9
		kinesin family member 3B
		protein phosphatase 1, regulatory subunit 3B
		glutamate receptor, ionotropic, N-methyl D-aspartate 2B
		CKLF-like MARVEL transmembrane domain containing 4
		thioredoxin interacting protein
		histone deacetylase 4
		family with sequence similarity 177, member A1
		PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)
		UBX domain protein 2A
		tumor susceptibility 101
		nuclear receptor binding protein 1
		solute carrier family 30 (zinc transporter), member 1
		solute carrier family 39, member 9
		Rap guanine nucleotide exchange factor (GEF) 4
		ORM1-like 3 (S. cerevisiae)
		F-box protein 28
		insulin-like growth factor 2 mRNA binding protein 1
		fat storage-inducing transmembrane protein 2
		SPARC related modular calcium binding 1
		chromosome 16 open reading frame 70
		poly (ADP-ribose) polymerase family, member 6
		tumor suppressor candidate 2
		fragile X mental retardation, autosomal homolog 1
		chromosome 7 open reading frame 60
		Rap guanine nucleotide exchange factor (GEF)-like 1
		bromo adjacent homology domain containing 1
		oxysterol binding protein-like 5
		c-abl oncogene 2, non-receptor tyrosine kinase
		solute carrier family 24 (sodium/potassium/calcium exchanger), member 2
		neuronal PAS domain protein 3
		interleukin 1 receptor accessory protein
		regulator of G-protein signaling 4
		N-acyl phosphatidylethanolamine phospholipase D
		NIMA-related kinase 10
		mutated in colorectal cancers
		solute carrier family 36 (proton/amino acid symporter), member 1
		zinc fingers and homeoboxes 2
		EPH receptor B4
		E2F transcription factor 5, p130-binding
		RAS-like, family 11, member B
		SRY (sex determining region Y)-box 4
		SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)
		germ cell-less, spermatogenesis associated 1
		NIMA-related kinase 9
		ring finger protein 145
		adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1
		nuclear protein localization 4 homolog (S. cerevisiae)
		F-box protein 31
		DnaJ (Hsp40) homolog, subfamily C, member 27
		zinc finger protein 597
		synaptic vesicle glycoprotein 2B
		dihydropyrimidinase-like 2
		secretory carrier membrane protein 5
		major facilitator superfamily domain containing 9
		SH2 domain containing 5
		mitogen-activated protein kinase 1 interacting protein 1-like
		guanine nucleotide binding protein (G protein), beta 5
		Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)
		Fas apoptotic inhibitory molecule 2
		Rho GTPase activating protein 31
		BCL2/adenovirus E1B 19kDa interacting protein 3-like
		solute carrier family 33 (acetyl-CoA transporter), member 1
		potassium channel regulator
		ORAI calcium release-activated calcium modulator 1
		polyhomeotic homolog 3 (Drosophila)
		meningioma expressed antigen 5 (hyaluronidase)
		TAO kinase 3
		AP2 associated kinase 1
		G protein-coupled receptor 157
		kinesin family member 23
		calcium activated nucleotidase 1
		kinesin family member 5A
		zinc finger, FYVE domain containing 26
		p21 protein (Cdc42/Rac)-activated kinase 3
		cell division cycle associated 3
		solute carrier family 30 (zinc transporter), member 5
		heparan sulfate (glucosamine) 3-O-sulfotransferase 5
		ubiquitin associated and SH3 domain containing A
		guanine deaminase
		zinc finger protein 827
		F-box protein 10
		E2F transcription factor 1
		FERM domain containing 4A
		RAB10, member RAS oncogene family
		protein phosphatase 1, regulatory subunit 3G
		family with sequence similarity 160, member B1
		TIMP metallopeptidase inhibitor 2
		SATB homeobox 1
		chromosome 7 open reading frame 43
		aryl-hydrocarbon receptor repressor
		SRC kinase signaling inhibitor 1
		cryptochrome 2 (photolyase-like)
		zinc finger protein 280B
		URI1, prefoldin-like chaperone
		ADP-ribosylation factor-like 1
		clock circadian regulator
		isthmin 2
		RAB5B, member RAS oncogene family
		Ras protein-specific guanine nucleotide-releasing factor 2
		FAT atypical cadherin 2
		chromatin assembly factor 1, subunit A (p150)
		integrator complex subunit 6
		gigaxonin
		ectonucleoside triphosphate diphosphohydrolase 4
		ELK3, ETS-domain protein (SRF accessory protein 2)
		guanylate cyclase 1, soluble, alpha 3
		myotubularin related protein 3
		WD repeat domain 37
		FCH domain only 2
		rhodopsin
		ADP-ribosylation factor-like 5A
		dynamin 2
		smoothelin-like 2
		fms-related tyrosine kinase 1
		solute carrier family 22, member 23
		cytochrome b561 family, member D1
		apoptotic chromatin condensation inducer 1
hsa-miR-144-3p	677	MRG/MORF4L binding protein
		aldehyde dehydrogenase 1 family, member A3
		membrane associated guanylate kinase, WW and PDZ domain containing 3
		storkhead box 2
		deleted in azoospermia 2
		family with sequence similarity 222, member A
		RAB2A, member RAS oncogene family
		centrosomal protein 55kDa
		TBC1 domain family, member 14
		protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)
		PHD finger protein 3
		ring finger protein 139
		DnaJ (Hsp40) homolog, subfamily C, member 6
		zinc finger and BTB domain containing 7C
		v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4
		myotrophin
		F-box protein 32
		Janus kinase 2
		tripartite motif containing 24
		retinoid X receptor, beta
		KIAA1033
		protein kinase C, epsilon
		SET domain containing 3
		transcription factor-like 5 (basic helix-loop-helix)
		Hepatoma-derived growth factor-related protein 3
		nucleoporin 62kDa C-terminal like
		AT hook, DNA binding motif, containing 1
		phosphoprotein associated with glycosphingolipid microdomains 1
		Sp4 transcription factor
		K(lysine) acetyltransferase 7
		small ubiquitin-like modifier 3
		LON peptidase N-terminal domain and ring finger 3
		v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
		integrin, alpha 8
		ectodysplasin A
		CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
		elongator acetyltransferase complex subunit 4
		dynactin 2 (p50)
		trio Rho guanine nucleotide exchange factor
		protein serine kinase H1
		opioid growth factor receptor-like 1
		tectorin alpha
		kelch-like family member 23
		DnaJ (Hsp40) homolog, subfamily C, member 2
		MORC family CW-type zinc finger 3
		potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)
		ADAM metallopeptidase with thrombospondin type 1 motif, 15
		ubiquitin-conjugating enzyme E2F (putative)
		pleckstrin homology-like domain, family A, member 1
		activating transcription factor 7 interacting protein
		forkhead box G1
		guanine nucleotide binding protein (G protein), alpha 13
		junctophilin 1
		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)
		FBJ murine osteosarcoma viral oncogene homolog
		zinc finger, ZZ-type containing 3
		hyaluronan and proteoglycan link protein 1
		membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase
		KH domain containing, RNA binding, signal transduction associated 2
		bromodomain adjacent to zinc finger domain, 2B
		protein phosphatase 4, regulatory subunit 1
		plasminogen activator, tissue
		protein kinase D3
		golgi glycoprotein 1
		cerebellar degeneration-related protein 2, 62kDa
		jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)
		NudC domain containing 1
		chromosome 19 open reading frame 81
		high mobility group nucleosomal binding domain 3
		helicase with zinc finger
		deleted in liver cancer 1
		syntaxin 7
		glycogen synthase kinase 3 beta
		myosin, heavy chain 10, non-muscle
		heterogeneous nuclear ribonucleoprotein A/B
		G1 to S phase transition 1
		mitochondrial ribosomal protein S14
		major facilitator superfamily domain containing 6
		staufen double-stranded RNA binding protein 1
		golgin A7
		chromatin target of PRMT1
		BCL2 binding component 3
		RAB5A, member RAS oncogene family
		membrane magnesium transporter 1
		ubiquitin-conjugating enzyme E2D 2
		nuclear receptor subfamily 6, group A, member 1
		translocase of inner mitochondrial membrane 8 homolog A (yeast)
		phorbol-12-myristate-13-acetate-induced protein 1
		cullin 4B
		myelin expression factor 2
		solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11
		multiple EGF-like-domains 9
		neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase
		nemo-like kinase
		prickle homolog 1 (Drosophila)
		nucleus accumbens associated 1, BEN and BTB (POZ) domain containing
		pleckstrin and Sec7 domain containing 2
		protein phosphatase 2, regulatory subunit B', epsilon isoform
		sphingomyelin synthase 2
		dishevelled segment polarity protein 1
		SWAP switching B-cell complex 70kDa subunit
		myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4
		ras responsive element binding protein 1
		T-box 1
		elastin
		solute carrier family 8 (sodium/calcium exchanger), member 1
		LSM14A, SCD6 homolog A (S. cerevisiae)
		Wilms tumor 1 associated protein
		von Willebrand factor C domain containing protein 2-like
		chromosome 10 open reading frame 12
		HtrA serine peptidase 3
		signal transducing adaptor molecule (SH3 domain and ITAM motif) 1
		calmodulin regulated spectrin-associated protein family, member 2
		fibronectin 1
		Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1
		calponin 3, acidic
		brain expressed, associated with NEDD4, 1
		paired box 5
		erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)
		FGFR1 oncogene partner
		ring finger and CCCH-type domains 1
		tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide
		SEC24 family, member A (S. cerevisiae)
		membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase
		nudix (nucleoside diphosphate linked moiety X)-type motif 11
		bromodomain and PHD finger containing, 1
		GPRIN family member 3
		myocyte enhancer factor 2A
		endoplasmic reticulum to nucleus signaling 1
		pregnancy-associated plasma protein A, pappalysin 1
		NFKB repressing factor
		regulator of G-protein signaling 16
		RAB39B, member RAS oncogene family
		LIM homeobox 1
		sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
		protein tyrosine phosphatase, non-receptor type 9
		activin A receptor, type IIB
		enhancer of zeste homolog 2 (Drosophila)
		piezo-type mechanosensitive ion channel component 1
		REV1, polymerase (DNA directed)
		cell division cycle 73
		membrane-bound transcription factor peptidase, site 2
		SRY (sex determining region Y)-box 1
		mediator complex subunit 14
		CXXC finger protein 5
		zinc finger, DHHC-type containing 17
		v-myb avian myeloblastosis viral oncogene homolog-like 1
		guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
		tetraspanin 5
		neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
		RAN binding protein 9
		vacuolar protein sorting 35 homolog (S. cerevisiae)
		KIAA0556
		inositol 1,4,5-trisphosphate receptor, type 1
		NIMA-related kinase 7
		chromosome 10 open reading frame 118
		axin 2
		caveolin 3
		TGFB-induced factor homeobox 2
		topoisomerase (DNA) II alpha 170kDa
		mediator complex subunit 13
		zinc and ring finger 3
		B-cell CLL/lymphoma 9
		paired box 8
		T-box 18
		solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
		ankyrin repeat and sterile alpha motif domain containing 1A
		proprotein convertase subtilisin/kexin type 5
		epithelial membrane protein 2
		v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog
		stromal antigen 1
		suppression of tumorigenicity 5
		solute carrier family 45, member 3
		RAB4A, member RAS oncogene family
		brain-enriched guanylate kinase-associated
		golgi to ER traffic protein 4 homolog (S. cerevisiae)
		HCG1997999; cDNA FLJ33996 fis, clone DFNES2008881
		BRCA1/BRCA2-containing complex, subunit 3
		potassium voltage-gated channel, Shaw-related subfamily, member 4
		ring finger protein 44
		family with sequence similarity 193, member B
		keratin 222
		IgA-inducing protein
		Cbl proto-oncogene-like 1, E3 ubiquitin protein ligase
		deleted in azoospermia 3
		importin 8
		extracellular leucine-rich repeat and fibronectin type III domain containing 2
		janus kinase and microtubule interacting protein 2
		SAP30-like
		CDC42 effector protein (Rho GTPase binding) 3
		solute carrier family 25 (mitochondrial oxoadipate carrier), member 21
		neuronal differentiation 1
		chromosome 12 open reading frame 5
		KIT ligand
		latrophilin 2
		heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1
		mucin 19, oligomeric
		SCL/TAL1 interrupting locus
		inositol(myo)-1(or 4)-monophosphatase 1
		CDNA FLJ20147 fis, clone COL07954; HCG1781466; Uncharacterized protein
		cyclin E2
		FBJ murine osteosarcoma viral oncogene homolog B
		arrestin domain containing 3
		G protein-coupled receptor 158
		fibrillin 2
		coiled-coil domain containing 88A
		OTU domain containing 7A
		zinc finger protein, X-linked
		ephrin-A5
		PR domain containing 16
		mahogunin ring finger 1, E3 ubiquitin protein ligase
		ralA binding protein 1
		ubiquitin specific peptidase 9, X-linked
		leucine rich repeat containing 1
		bone morphogenetic protein receptor, type IA
		cysteine-serine-rich nuclear protein 2
		potassium channel tetramerization domain containing 12
		phosphodiesterase 4A, cAMP-specific
		intestinal cell (MAK-like) kinase
		FRY-like
		oxysterol binding protein-like 1A
		leucine rich repeat transmembrane neuronal 2
		Bet1 golgi vesicular membrane trafficking protein
		tetraspanin 12
		paired box 3
		proline rich 11
		DiGeorge syndrome critical region gene 2
		K(lysine) acetyltransferase 6A
		mbt domain containing 1
		transmembrane protein 257
		zinc finger, MYM-type 2
		integrin, alpha 6
		TEK tyrosine kinase, endothelial
		fibroblast growth factor 16
		ubiquitin-conjugating enzyme E2D 1
		CREB regulated transcription coactivator 1
		solute carrier family 20 (phosphate transporter), member 2
		leucine zipper protein 6
		pantothenate kinase 1
		hepatocyte growth factor (hepapoietin A; scatter factor)
		RAP1B, member of RAS oncogene family
		solute carrier family 4, sodium bicarbonate transporter, member 10
		RNA-binding region (RNP1, RRM) containing 3
		NDRG family member 4
		RAD54-like 2 (S. cerevisiae)
		H2A histone family, member V
		SH3 and cysteine rich domain
		ash1 (absent, small, or homeotic)-like (Drosophila)
		PAP associated domain containing 5
		noggin
		leucine-rich repeat containing G protein-coupled receptor 4
		ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
		tetratricopeptide repeat domain 33
		glucocorticoid modulatory element binding protein 2
		neuroepithelial cell transforming 1
		PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)
		lysine (K)-specific demethylase 3B
		ERO1-like (S. cerevisiae)
		copine II
		ubiquitin-conjugating enzyme E2G 1
		myotubularin related protein 12
		COP9 signalosome subunit 2
		adenomatous polyposis coli
		RAB1A, member RAS oncogene family
		helicase-like transcription factor
		dystrophin
		ubiquitin specific peptidase 54
		zinc finger, DHHC-type containing 21
		SIN3 transcription regulator family member A
		potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3
		cadherin 8, type 2
		ubiquitin-conjugating enzyme E2A
		early B-cell factor 2
		SOGA family member 2
		potassium channel modulatory factor 1
		StAR-related lipid transfer (START) domain containing 8
		guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type
		AT rich interactive domain 2 (ARID, RFX-like)
		glia maturation factor, beta
		Ras and Rab interactor 2
		zinc finger protein 366
		YLP motif containing 1
		cysteine-rich hydrophobic domain 2
		Rho GTPase activating protein 18
		topoisomerase (DNA) I
		golgin A4
		family with sequence similarity 76, member B
		v-ets avian erythroblastosis virus E26 oncogene homolog 1
		muscleblind-like splicing regulator 2
		fibroblast growth factor 7
		proline-rich coiled-coil 2C
		tetraspanin 6
		failed axon connections homolog (Drosophila)
		solute carrier family 6 (neutral amino acid transporter), member 17
		down-regulator of transcription 1, TBP-binding (negative cofactor 2)
		zinc finger protein 292
		TGFB-induced factor homeobox 1
		Ras protein-specific guanine nucleotide-releasing factor 1
		G1 to S phase transition 2
		lysine (K)-specific demethylase 3A
		suppressor of cytokine signaling 2
		activated leukocyte cell adhesion molecule
		discs, large homolog 5 (Drosophila)
		katanin p80 subunit B-like 1
		glucan (1,4-alpha-), branching enzyme 1
		transforming growth factor, alpha
		RAP1A, member of RAS oncogene family
		UDP-glucose glycoprotein glucosyltransferase 1
		ubiquitin specific peptidase 42
		lamin B receptor
		AT rich interactive domain 1A (SWI-like)
		v-myb avian myeloblastosis viral oncogene homolog
		gamma-aminobutyric acid (GABA) A receptor, alpha 1
		zinc finger protein 770
		pumilio RNA-binding family member 1
		transmembrane protein 161B
		plexin C1
		bromodomain and PHD finger containing, 3
		R-spondin 2
		cadherin 5, type 2 (vascular endothelium)
		polybromo 1
		RASD family, member 2
		kinesin family member 14
		SET domain containing 5
		CXADR-like membrane protein
		tribbles pseudokinase 1
		musashi RNA-binding protein 2
		nuclear receptor subfamily 5, group A, member 2
		thrombospondin 1
		nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
		B-cell CLL/lymphoma 9-like
		LSM14B, SCD6 homolog B (S. cerevisiae)
		Kruppel-like factor 6
		general transcription factor IIA, 1, 19/37kDa
		zinc finger CCCH-type containing 11A
		MAP/microtubule affinity-regulating kinase 1
		ATPase, Ca++ transporting, type 2C, member 1
		histone acetyltransferase 1
		far upstream element (FUSE) binding protein 3
		phosphatase and actin regulator 2
		1-acylglycerol-3-phosphate O-acyltransferase 3
		potassium channel tetramerization domain containing 10
		trinucleotide repeat containing 18
		protein phosphatase 1, catalytic subunit, gamma isozyme
		succinate-CoA ligase, ADP-forming, beta subunit
		CXXC finger protein 4
		core-binding factor, runt domain, alpha subunit 2; translocated to, 2
		zinc finger CCCH-type containing 6
		myristoylated alanine-rich protein kinase C substrate
		C8orf44-SGK3 readthrough
		abhydrolase domain containing 17C
		v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K
		kelch repeat and BTB (POZ) domain containing 8
		homeobox A10
		cytoplasmic polyadenylation element binding protein 1
		kelch repeat and BTB (POZ) domain containing 2
		insulin receptor substrate 1
		pygopus homolog 1 (Drosophila)
		RAP2B, member of RAS oncogene family
		glutamate receptor, metabotropic 5
		prospero homeobox 1
		RNA binding motif protein 12
		hairy/enhancer-of-split related with YRPW motif 2
		sel-1 suppressor of lin-12-like (C. elegans)
		cytochrome c oxidase subunit VIIc
		ring finger protein 125, E3 ubiquitin protein ligase
		muscleblind-like splicing regulator 1
		E2F transcription factor 8
		msh homeobox 1
		synaptosomal-associated protein, 91kDa
		LIM and calponin homology domains 1
		zinc finger protein 469
		deleted in azoospermia 4
		secretory carrier membrane protein 1
		programmed cell death 4 (neoplastic transformation inhibitor)
		karyopherin alpha 1 (importin alpha 5)
		zinc finger protein 507
		nuclear receptor subfamily 2, group F, member 2
		cytohesin 3
		RNA binding motif protein 25
		stathmin 1
		peroxisomal biogenesis factor 7
		synaptic Ras GTPase activating protein 1
		chromosome 20 open reading frame 194
		solute carrier family 19 (thiamine transporter), member 2
		centrosomal protein 135kDa
		thymocyte selection-associated high mobility group box
		forkhead box N4
		cytochrome P450, family 24, subfamily A, polypeptide 1
		mastermind-like 3 (Drosophila)
		sulfotransferase family 4A, member 1
		aryl hydrocarbon receptor nuclear translocator-like 2
		leucyl/cystinyl aminopeptidase
		solute carrier family 12 (sodium/potassium/chloride transporter), member 2
		SRY (sex determining region Y)-box 6
		HSPE1-MOB4 readthrough
		nidogen 2 (osteonidogen)
		ubiquitin protein ligase E3 component n-recognin 3 (putative)
		fibronectin leucine rich transmembrane protein 2
		zinc finger E-box binding homeobox 2
		leukemia inhibitory factor receptor alpha
		MORN repeat containing 4
		TRAF2 and NCK interacting kinase
		cytochrome P450, family 27, subfamily C, polypeptide 1
		tenascin C
		E74-like factor 5 (ets domain transcription factor)
		vitamin K epoxide reductase complex, subunit 1-like 1
		SKI-like oncogene
		zinc finger protein 462
		protein tyrosine phosphatase type IVA, member 1
		solute carrier family 23 (ascorbic acid transporter), member 2
		family with sequence similarity 73, member A
		zinc finger, CCHC domain containing 2
		sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
		neuronal pentraxin I
		transmembrane protein 165
		GRAM domain containing 4
		GLI family zinc finger 2
		homeobox A7
		Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
		tensin 3
		zinc finger protein 746
		chromosome X open reading frame 23
		zinc finger protein 777
		chromosome 3 open reading frame 58
		insulin-like growth factor 2 receptor
		discs, large (Drosophila) homolog-associated protein 3
		bone morphogenetic protein receptor, type IB
		vezatin, adherens junctions transmembrane protein
		KIAA1217
		sterol O-acyltransferase 1
		CDV3 homolog (mouse)
		BR serine/threonine kinase 2
		calbindin 1, 28kDa
		potassium inwardly-rectifying channel, subfamily J, member 8
		cyclin K
		epsin 2
		potassium inwardly-rectifying channel, subfamily J, member 6
		vacuolar protein sorting 4 homolog B (S. cerevisiae)
		ubiquitin protein ligase E3 component n-recognin 1
		autophagy related 4D, cysteine peptidase
		ATPase, Ca++ transporting, plasma membrane 1
		protein phosphatase 1, regulatory subunit 16B
		TBC1 domain family, member 19
		KH domain containing, RNA binding, signal transduction associated 3
		serum/glucocorticoid regulated kinase family, member 3
		KIN, antigenic determinant of recA protein homolog (mouse)
		ectodysplasin A receptor
		zinc finger protein 638
		ring finger protein 111
		potassium voltage-gated channel, subfamily H (eag-related), member 7
		neurolysin (metallopeptidase M3 family)
		GATS protein-like 2
		AE binding protein 2
		protein geranylgeranyltransferase type I, beta subunit
		poly(A) binding protein, nuclear 1
		tetraspanin 3
		potassium large conductance calcium-activated channel, subfamily M, beta member 2
		limbic system-associated membrane protein
		capping protein (actin filament) muscle Z-line, alpha 1
		synergin, gamma
		formin 2
		LanC lantibiotic synthetase component C-like 3 (bacterial)
		podocalyxin-like
		FK506 binding protein 7
		tumor protein D52
		potassium channel, subfamily K, member 12
		docking protein 4
		myotubularin related protein 2
		BCL2L2-PABPN1 readthrough
		POU class 3 homeobox 1
		matrix metallopeptidase 15 (membrane-inserted)
		BEN domain containing 3
		pleckstrin homology domain containing, family G (with RhoGef domain) member 1
		calcium/calmodulin-dependent protein kinase II delta
		glycoprotein M6B
		intersectin 2
		proline-rich nuclear receptor coactivator 1
		prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
		collagen, type VIII, alpha 1
		zinc finger, BED-type containing 4
		membrane associated guanylate kinase, WW and PDZ domain containing 2
		amyloid beta (A4) precursor-like protein 2
		contactin 3 (plasmacytoma associated)
		phosphomannomutase 2
		family with sequence similarity 46, member A
		microtubule-associated protein 1B
		teneurin transmembrane protein 3
		SH3-domain GRB2-like endophilin B1
		spermatogenesis associated 2
		zinc finger, C2HC-type containing 1A
		dystrobrevin, alpha
		ubiquitin specific peptidase 38
		glycerol kinase 5 (putative)
		nucleolar protein 7, 27kDa
		nuclear receptor binding SET domain protein 1
		replication protein A1, 70kDa
		transmembrane protein 189
